Ligand_Cost_fixed,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,Yield
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.1,120,27.93
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.153,105,0.0
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,120,8.4
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.153,120,61.67
72.0,CC(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.057,90,15.92
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.153,120,0.0
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.153,90,20.67
102.0,CC(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,120,1.62
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCC#N,0.057,105,0.0
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.057,90,0.0
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.057,105,34.47
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.057,120,27.8
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CCCCOC(C)=O,0.153,120,13.12
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,90,5.29
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.057,90,19.55
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,90,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.1,120,67.57
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.153,120,99.22
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.057,90,0.0
22.0,CC(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.153,105,0.28
72.0,CC(C)(C)C(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CCCCOC(C)=O,0.057,90,15.73
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.1,120,70.51
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,CCCCOC(C)=O,0.153,120,0.0
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.057,90,46.46
1.0,CC(C)(C)C(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.057,90,5.19
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.057,105,0.0
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.057,105,67.85
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,CCCC#N,0.057,105,0.0
72.0,CC(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.1,105,16.19
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,120,32.21
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.057,90,72.9
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.1,120,4.48
22.0,CC(C)(C)C(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.153,90,0.0
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.057,90,0.0
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.1,120,0.0
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.153,90,61.09
1.0,CC(C)(C)C(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.153,105,4.1
552.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.1,120,67.63
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.057,90,51.32
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,90,20.73
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.153,120,0.0
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.057,105,12.61
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.057,105,23.1
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.1,105,8.23
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.1,105,41.9
552.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.153,90,11.77
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.153,120,18.26
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,90,0.0
1.0,CC(C)(C)C(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.057,90,0.01
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,105,5.59
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,120,0.0
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.153,105,29.56
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.153,90,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.153,90,75.4
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.1,90,0.0
36.0,CC(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,Cc1ccc(C)cc1,0.1,105,0.83
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,90,28.74
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.153,120,51.83
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.153,90,0.0
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.057,120,20.07
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.153,120,0.0
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.1,105,91.11
800.0,CC(C)(C)C(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.1,120,68.33
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.1,120,0.0
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,105,24.09
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.153,90,13.02
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.153,105,11.69
552.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.1,90,5.5
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.153,90,24.05
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.1,105,8.85
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,90,42.3
297.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.057,105,29.85
297.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,90,30.95
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.1,105,16.44
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.153,90,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.153,105,73.93
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.153,90,32.5
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.1,105,19.97
22.0,CC(C)(C)C(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.1,120,0.0
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.057,105,7.12
552.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,120,16.07
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.153,105,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.1,90,16.04
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,120,9.59
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.057,120,0.0
297.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,120,66.9
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.1,105,28.65
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.057,120,75.46
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,120,0.0
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.1,120,44.74
72.0,CC(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.153,90,29.45
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,90,6.26
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCCOC(C)=O,0.1,120,42.62
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.153,90,0.0
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.057,90,0.0
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.153,105,0.0
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,105,1.85
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,120,54.26
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.153,90,38.79
1.0,CC(C)(C)C(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.057,90,0.43
1.0,CC(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.153,105,66.27
22.0,CC(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.1,105,0.0
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,120,20.08
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.1,120,0.0
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.1,105,8.11
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.057,90,0.0
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.153,105,55.96
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.153,105,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,120,31.14
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.153,105,34.45
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,120,51.99
22.0,CC(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.153,105,2.15
102.0,CC(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.057,120,0.0
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.153,105,21.86
552.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,2.41
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.1,90,21.46
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,120,76.59
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCCOC(C)=O,0.153,120,21.09
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,105,17.0
552.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,90,16.57
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.1,120,62.32
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.153,105,24.56
72.0,CC(C)(C)C(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.1,105,19.32
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.057,90,11.07
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.1,120,67.04
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.153,105,39.32
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,0.0
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.153,120,14.29
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.1,90,1.06
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,120,0.0
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.057,120,95.48
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.057,105,0.0
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,105,27.48
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,CC(=O)N(C)C,0.1,90,0.0
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,90,1.96
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,90,31.18
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,Cc1ccc(C)cc1,0.1,105,10.05
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,15.16
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.153,120,18.89
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,120,89.14
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.153,105,13.22
22.0,CC(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.153,105,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.057,105,5.4
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,120,33.65
552.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,90,2.72
22.0,CC(C)(C)C(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.057,120,3.25
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,90,57.27
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.057,105,0.48
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,105,27.71
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.1,90,45.87
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,90,0.0
22.0,CC(C)(C)C(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.153,120,24.11
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.153,105,16.87
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,90,0.0
297.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.057,105,6.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCC#N,0.1,90,0.0
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.1,120,10.51
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.153,90,3.02
